"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100105",100.787764029714,0.584889476143275,0.242528217385224,2.41163474687259,0.0158811823011947,0.0397691273459084
"ENSG00000099953",10.8914994060571,2.1461324735706,0.899875338686253,2.3849219789752,0.0170827438647085,0.0426005355298333
"ENSG00000100347",88.3326566803542,0.762056948153525,0.320883927378418,2.37486792928346,0.017555230320297,0.0435979067045393
"ENSG00000100220",179.241089115178,0.485711590612895,0.206994492346987,2.3464952381375,0.018950908365232,0.0467934659271663
"ENSG00000182057",4.4291356792865,2.91310355262443,1.24195632215904,2.34557649141818,0.0189976800103637,0.0467934659271663
"ENSG00000075234",50.9711977385601,0.937793921426941,0.401045788968617,2.33837119656261,0.0193680005808304,0.0475108912207309
"ENSG00000025770",126.503348508571,0.504826885922706,0.216870552406932,2.32777977609177,0.0199238004965262,0.04867562641631
"ENSG00000198125",3.59732851066022,3.71164223155053,1.60408799616716,2.31386447652448,0.0206751572421822,0.0503067591196418
"ENSG00000185252",69.1712114069272,0.651790436496002,0.28340493880357,2.29985560324961,0.0214564020663204,0.05199716791072
"ENSG00000128335",127.995435723334,-0.499461479878068,0.21760705230291,-2.29524491321547,0.0217190925969162,0.0522219973069377
"ENSG00000182541",97.7369330227671,-0.589769446765845,0.256960290015884,-2.29517738608323,0.021722960610207,0.0522219973069377
"ENSG00000211685",2.15135230734239,4.28803436961378,1.88346020244033,2.27667904214696,0.022805398933064,0.0546057560110418
"ENSG00000231711",11.3274624487788,-1.68809933764808,0.750670318345195,-2.24878924395117,0.0245259080255548,0.0584923441403112
"ENSG00000183172",28.9674536071271,-1.05182327538593,0.468377600279371,-2.24567373580323,0.0247249136619764,0.0585957857865328
"ENSG00000099960",12.4895217767981,-1.71170724876898,0.762787602739031,-2.24401555901349,0.0248314002797927,0.0585957857865328
"ENSG00000100083",184.091194088087,0.423320393477458,0.188683815802533,2.24354373838021,0.0248617726714906,0.0585957857865328
"ENSG00000100209",26.1952295577944,1.01750830573875,0.460026511529279,2.21184710062953,0.0269772314037874,0.0633332659127977
"ENSG00000185022",42.5899762341463,0.822199578735572,0.372517280114736,2.20714480273863,0.027303944572055,0.0638508587074126
"ENSG00000186976",23.3003185536243,-1.39402301775307,0.632102911248781,-2.20537351267539,0.0274278951383052,0.0638921123183002
"ENSG00000100417",46.4013115007132,-0.805887789801734,0.366837598210556,-2.19685166878443,0.0280310415535405,0.065045003759374
"ENSG00000188280",5.32403536529228,3.21776205767348,1.46795362040023,2.19200526021808,0.0283791268123513,0.0655067018188285
"ENSG00000234965",3.3866998591917,-3.45967020181346,1.57899931024604,-2.19105238321756,0.0284480019545994,0.0655067018188285
"ENSG00000206145",4.36668930045508,-3.36039355005572,1.53584612497768,-2.18797540678403,0.0286713937840248,0.0657691132221332
"ENSG00000185838",26.9452329873149,1.04892394082598,0.481242819744481,2.17961473458017,0.0292860316626583,0.0669235932671394
"ENSG00000100385",2.91742816187268,3.74932364713966,1.72325613551352,2.1757204688683,0.0295761686959765,0.0673305961601586
"ENSG00000100365",9.33023867760268,1.72618940151593,0.803562070516896,2.14817182748005,0.0317001078696787,0.0718934521874599
"ENSG00000172967",2.00351072088507,4.17566354335721,1.94807171771354,2.14348553258511,0.0320741315575129,0.0724682446092679
"ENSG00000100197",18.117194623236,-1.2248939610282,0.572808103904872,-2.13840194068138,0.0324841351094138,0.073119719853025
"ENSG00000184319",46.33807668962,-0.779043888888149,0.365033421679579,-2.13417140080938,0.032828752858229,0.0736197032380433
"ENSG00000100079",1.93669324279265,4.13246264308316,1.9478480930829,2.12155283451423,0.0338753066898241,0.0756842353925066
"ENSG00000184983",104.089396192532,0.492706602217493,0.233103356843565,2.11368299834544,0.034542351578434,0.0768887159208845
"ENSG00000100393",396.474315105511,-0.325108110269109,0.153978553249957,-2.11138566642689,0.0347391760745943,0.077041493803805
"ENSG00000073146",6.88866138324376,-2.0628020547495,0.97906989152535,-2.10689969388778,0.0351262751657922,0.0776135712302983
